Report Number,Date Reported,Date of Occurrence,Time of Occurrence,City,Crime Code,Crime Description,Victim Age,Victim Gender,Weapon Used,Crime Domain,Police Deployed,Case Closed,Date Case Closed
1040,14-02-2020 0.00,02-13-2020 07:00,13-02-2020 15.11,Bangalore,138,VEHICLE - STOLEN,10,F,None,Violent Crime,10,Yes,11-05-2020 0.00
1041,14-02-2020 0.00,02-13-2020 08:00,13-02-2020 15.22,Pune,522,EXTORTION,52,F,None,Other Crime,5,No,
1042,15-02-2020 19.00,02-13-2020 09:00,13-02-2020 22.16,Patna,192,CYBERCRIME,63,F,None,Other Crime,16,No,
1043,15-02-2020 20.00,02-13-2020 10:00,14-02-2020 0.27,Ghaziabad,213,IDENTITY THEFT,36,F,Knife,Violent Crime,12,Yes,22-02-2020 20.00
1044,14-02-2020 18.00,02-13-2020 11:00,14-02-2020 9.27,Indore,469,PUBLIC INTOXICATION,11,F,None,Other Crime,7,Yes,26-02-2020 18.00
1045,15-02-2020 10.00,02-13-2020 12:00,13-02-2020 20.53,Bangalore,538,TRAFFIC VIOLATION,35,F,Knife,Traffic Fatality,10,No,
1046,14-02-2020 5.00,02-13-2020 13:00,13-02-2020 15.50,Faridabad,461,TRAFFIC VIOLATION,42,F,Poison,Traffic Fatality,13,No,
1047,14-02-2020 22.00,02-13-2020 14:00,14-02-2020 10.03,Mumbai,508,HOMICIDE,66,F,Other,Other Crime,12,No,
1048,16-02-2020 0.00,02-13-2020 15:00,14-02-2020 8.19,Meerut,556,VEHICLE - STOLEN,58,F,None,Violent Crime,18,Yes,06-03-2020 0.00
1049,14-02-2020 8.00,02-13-2020 16:00,14-02-2020 3.00,Ahmedabad,463,FIREARM OFFENSE,22,F,Firearm,Fire Accident,3,No,
1050,15-02-2020 10.00,02-13-2020 17:00,14-02-2020 14.31,Delhi,330,VEHICLE - STOLEN,54,M,None,Violent Crime,2,Yes,01-03-2020 10.00
1051,14-02-2020 10.00,02-13-2020 18:00,13-02-2020 23.29,Delhi,401,FRAUD,42,F,Explosives,Other Crime,16,Yes,12-03-2020 10.00
1052,16-02-2020 5.00,02-13-2020 19:00,14-02-2020 0.32,Chennai,391,VEHICLE - STOLEN,32,F,Poison,Violent Crime,14,Yes,05-03-2020 5.00
1053,14-02-2020 10.00,02-13-2020 20:00,14-02-2020 3.44,Hyderabad,182,TRAFFIC VIOLATION,44,F,None,Traffic Fatality,9,Yes,28-02-2020 10.00
1054,14-02-2020 4.00,02-13-2020 21:00,14-02-2020 4.21,Ghaziabad,463,FRAUD,14,M,Blunt Object,Other Crime,6,Yes,12-05-2020 4.00
1055,15-02-2020 8.00,02-13-2020 22:00,14-02-2020 3.34,Jaipur,386,IDENTITY THEFT,25,F,Knife,Violent Crime,4,No,
1056,15-02-2020 5.00,02-13-2020 23:00,13-02-2020 23.24,Surat,281,SEXUAL ASSAULT,48,M,Blunt Object,Violent Crime,7,No,
1057,16-02-2020 3.00,02-14-2020 00:00,14-02-2020 0.13,Hyderabad,280,HOMICIDE,16,F,Knife,Other Crime,7,Yes,09-01-2021 3.00
1058,16-02-2020 5.00,02-14-2020 01:00,14-02-2020 8.55,Ghaziabad,354,FRAUD,27,M,Explosives,Other Crime,6,Yes,13-04-2020 5.00
1059,15-02-2020 17.00,02-14-2020 02:00,14-02-2020 19.24,Patna,235,SHOPLIFTING,13,M,Other,Other Crime,3,Yes,20-03-2020 17.00
1060,16-02-2020 15.00,02-14-2020 03:00,15-02-2020 1.25,Chennai,294,CYBERCRIME,16,M,Explosives,Other Crime,14,No,
1061,14-02-2020 22.00,02-14-2020 04:00,14-02-2020 6.18,Bangalore,333,FIREARM OFFENSE,42,F,None,Fire Accident,11,No,
1062,16-02-2020 14.00,02-14-2020 05:00,15-02-2020 4.39,Thane,361,EXTORTION,42,M,Explosives,Other Crime,8,No,
1063,16-02-2020 23.00,02-14-2020 06:00,15-02-2020 5.54,Ludhiana,337,VANDALISM,60,F,Explosives,Other Crime,3,Yes,07-04-2020 23.00
1064,15-02-2020 4.00,02-14-2020 07:00,14-02-2020 16.41,Ludhiana,420,COUNTERFEITING,62,F,Blunt Object,Other Crime,8,Yes,07-05-2020 4.00
1065,16-02-2020 0.00,02-14-2020 08:00,15-02-2020 5.38,Hyderabad,120,IDENTITY THEFT,22,F,Explosives,Violent Crime,14,No,
1066,16-02-2020 4.00,02-14-2020 09:00,14-02-2020 21.18,Mumbai,574,PUBLIC INTOXICATION,47,M,Blunt Object,Other Crime,10,No,
1067,16-02-2020 22.00,02-14-2020 10:00,15-02-2020 4.21,Lucknow,342,ROBBERY,31,F,Knife,Violent Crime,2,No,
1068,17-02-2020 9.00,02-14-2020 11:00,15-02-2020 6.37,Ahmedabad,446,BURGLARY,32,F,Explosives,Other Crime,7,No,
1069,15-02-2020 5.00,02-14-2020 12:00,15-02-2020 0.50,Chennai,232,ILLEGAL POSSESSION,18,F,Firearm,Other Crime,15,Yes,06-05-2020 5.00
1070,15-02-2020 18.00,02-14-2020 13:00,14-02-2020 14.51,Delhi,458,ARSON,53,M,Explosives,Fire Accident,1,No,
1071,16-02-2020 10.00,02-14-2020 14:00,15-02-2020 6.30,Ahmedabad,126,IDENTITY THEFT,35,F,Other,Violent Crime,7,Yes,23-03-2020 10.00
1072,16-02-2020 4.00,02-14-2020 15:00,15-02-2020 10.09,Kanpur,514,ILLEGAL POSSESSION,57,F,Poison,Other Crime,10,Yes,03-03-2020 4.00
1073,16-02-2020 21.00,02-14-2020 16:00,14-02-2020 19.10,Mumbai,240,DRUG OFFENSE,42,F,Explosives,Other Crime,6,No,
1074,15-02-2020 12.00,02-14-2020 17:00,15-02-2020 16.22,Pune,127,ARSON,19,F,Firearm,Fire Accident,12,No,
1075,17-02-2020 3.00,02-14-2020 18:00,14-02-2020 23.49,Ghaziabad,389,VEHICLE - STOLEN,17,F,Other,Violent Crime,10,No,
1076,17-02-2020 7.00,02-14-2020 19:00,15-02-2020 14.45,Delhi,202,VEHICLE - STOLEN,74,M,None,Violent Crime,18,Yes,28-03-2020 7.00
1077,17-02-2020 0.00,02-14-2020 20:00,15-02-2020 19.07,Kolkata,546,BURGLARY,50,F,Explosives,Other Crime,11,Yes,23-03-2020 0.00
1078,15-02-2020 8.00,02-14-2020 21:00,15-02-2020 2.30,Hyderabad,577,VANDALISM,50,M,Explosives,Other Crime,1,No,
1079,17-02-2020 10.00,02-14-2020 22:00,15-02-2020 18.11,Chennai,130,ARSON,64,F,Other,Fire Accident,9,Yes,20-03-2020 10.00
1080,17-02-2020 13.00,02-14-2020 23:00,15-02-2020 22.50,Kolkata,399,EXTORTION,67,F,Knife,Other Crime,14,Yes,02-03-2020 13.00
1081,16-02-2020 13.00,02-15-2020 00:00,15-02-2020 5.00,Delhi,522,ASSAULT,41,F,None,Violent Crime,3,Yes,09-05-2020 13.00
1082,16-02-2020 5.00,02-15-2020 01:00,15-02-2020 17.41,Bangalore,184,BURGLARY,66,M,Explosives,Other Crime,5,Yes,10-04-2020 5.00
1083,15-02-2020 23.00,02-15-2020 02:00,15-02-2020 23.55,Mumbai,398,PUBLIC INTOXICATION,16,F,Firearm,Other Crime,5,No,
1084,18-02-2020 1.00,02-15-2020 03:00,15-02-2020 11.12,Hyderabad,121,VEHICLE - STOLEN,57,F,Blunt Object,Violent Crime,3,Yes,26-02-2020 1.00
1085,18-02-2020 1.00,02-15-2020 04:00,16-02-2020 0.17,Ahmedabad,251,TRAFFIC VIOLATION,28,M,Explosives,Traffic Fatality,10,Yes,20-02-2020 1.00
1086,17-02-2020 22.00,02-15-2020 05:00,15-02-2020 8.11,Ahmedabad,500,EXTORTION,45,M,Knife,Other Crime,9,Yes,27-04-2020 22.00
1087,16-02-2020 13.00,02-15-2020 06:00,15-02-2020 14.24,Delhi,401,ILLEGAL POSSESSION,34,F,Firearm,Other Crime,2,Yes,25-02-2020 13.00
1088,16-02-2020 15.00,02-15-2020 07:00,15-02-2020 15.24,Delhi,573,FIREARM OFFENSE,42,F,Firearm,Fire Accident,11,No,
1089,15-02-2020 17.00,02-15-2020 08:00,16-02-2020 2.57,Delhi,334,FIREARM OFFENSE,72,F,Firearm,Fire Accident,9,Yes,19-03-2020 17.00
1090,17-02-2020 4.00,02-15-2020 09:00,15-02-2020 9.41,Vasai,119,HOMICIDE,79,F,Knife,Other Crime,6,Yes,18-08-2020 4.00
1091,18-02-2020 1.00,02-15-2020 10:00,15-02-2020 11.01,Thane,470,IDENTITY THEFT,38,F,None,Violent Crime,16,Yes,11-05-2020 1.00
1092,17-02-2020 6.00,02-15-2020 11:00,15-02-2020 17.26,Kolkata,247,SHOPLIFTING,56,M,Poison,Other Crime,17,No,
1093,16-02-2020 0.00,02-15-2020 12:00,15-02-2020 12.02,Indore,316,TRAFFIC VIOLATION,41,F,Explosives,Traffic Fatality,17,No,
1094,16-02-2020 2.00,02-15-2020 13:00,16-02-2020 5.38,Kanpur,528,KIDNAPPING,36,M,Knife,Other Crime,18,Yes,10-04-2020 2.00
1095,16-02-2020 4.00,02-15-2020 14:00,16-02-2020 2.03,Kolkata,140,FRAUD,39,M,None,Other Crime,18,Yes,27-02-2020 4.00
1096,17-02-2020 10.00,02-15-2020 15:00,15-02-2020 20.07,Vasai,207,FIREARM OFFENSE,36,F,Blunt Object,Fire Accident,13,Yes,09-03-2020 10.00
1097,16-02-2020 21.00,02-15-2020 16:00,16-02-2020 1.36,Rajkot,406,VEHICLE - STOLEN,73,F,Explosives,Violent Crime,6,Yes,22-04-2020 21.00
1098,17-02-2020 21.00,02-15-2020 17:00,15-02-2020 23.57,Thane,302,CYBERCRIME,52,F,Knife,Other Crime,15,Yes,20-03-2020 21.00
1099,18-02-2020 12.00,02-15-2020 18:00,16-02-2020 1.32,Kolkata,531,TRAFFIC VIOLATION,18,F,None,Traffic Fatality,8,Yes,19-02-2020 12.00
1100,16-02-2020 13.00,02-15-2020 19:00,16-02-2020 12.33,Bangalore,305,TRAFFIC VIOLATION,72,F,Blunt Object,Traffic Fatality,1,No,
1101,16-02-2020 14.00,02-15-2020 20:00,16-02-2020 15.38,Jaipur,575,FRAUD,34,F,Knife,Other Crime,1,No,
1102,18-02-2020 12.00,02-15-2020 21:00,16-02-2020 8.46,Kanpur,273,VANDALISM,76,M,Knife,Other Crime,2,Yes,17-04-2020 12.00
1103,17-02-2020 16.00,02-15-2020 22:00,16-02-2020 7.01,Mumbai,318,VEHICLE - STOLEN,61,F,Firearm,Violent Crime,1,Yes,05-04-2020 16.00
1104,17-02-2020 3.00,02-15-2020 23:00,16-02-2020 4.25,Hyderabad,534,PUBLIC INTOXICATION,66,M,Explosives,Other Crime,9,Yes,03-03-2020 3.00
1105,17-02-2020 12.00,02-16-2020 00:00,16-02-2020 2.33,Mumbai,148,DOMESTIC VIOLENCE,77,F,None,Violent Crime,1,Yes,24-04-2020 12.00
1106,18-02-2020 15.00,02-16-2020 01:00,16-02-2020 3.36,Delhi,141,ROBBERY,53,F,Blunt Object,Violent Crime,18,Yes,20-04-2020 15.00
1107,19-02-2020 0.00,02-16-2020 02:00,16-02-2020 9.01,Thane,211,DOMESTIC VIOLENCE,42,F,Blunt Object,Violent Crime,12,No,
1108,18-02-2020 10.00,02-16-2020 03:00,16-02-2020 5.18,Bangalore,127,ASSAULT,46,F,Other,Violent Crime,9,Yes,16-03-2020 10.00
1109,18-02-2020 5.00,02-16-2020 04:00,16-02-2020 13.33,Pune,103,ARSON,25,F,Other,Fire Accident,16,No,
1110,18-02-2020 10.00,02-16-2020 05:00,16-02-2020 21.20,Kolkata,494,COUNTERFEITING,39,F,Blunt Object,Other Crime,2,Yes,17-05-2020 10.00
1111,17-02-2020 15.00,02-16-2020 06:00,16-02-2020 6.53,Delhi,448,ROBBERY,60,M,Explosives,Violent Crime,9,No,
1112,19-02-2020 2.00,02-16-2020 07:00,16-02-2020 22.52,Pune,424,IDENTITY THEFT,46,F,None,Violent Crime,17,No,
1113,16-02-2020 11.00,02-16-2020 08:00,16-02-2020 23.08,Pune,487,BURGLARY,25,F,Explosives,Other Crime,14,Yes,08-04-2020 11.00
1114,17-02-2020 12.00,02-16-2020 09:00,16-02-2020 18.21,Delhi,432,KIDNAPPING,23,F,None,Other Crime,6,Yes,17-04-2020 12.00
1115,16-02-2020 20.00,02-16-2020 10:00,17-02-2020 0.45,Meerut,344,SEXUAL ASSAULT,40,M,Other,Violent Crime,2,Yes,14-04-2021 20.00
1116,18-02-2020 4.00,02-16-2020 11:00,16-02-2020 14.32,Mumbai,462,CYBERCRIME,56,M,Firearm,Other Crime,12,Yes,23-03-2020 4.00
1117,16-02-2020 21.00,02-16-2020 12:00,17-02-2020 8.40,Jaipur,484,KIDNAPPING,36,F,None,Other Crime,13,No,
1118,16-02-2020 22.00,02-16-2020 13:00,17-02-2020 11.41,Lucknow,485,ROBBERY,18,M,Blunt Object,Violent Crime,8,No,
1119,16-02-2020 19.00,02-16-2020 14:00,17-02-2020 3.40,Meerut,571,VEHICLE - STOLEN,76,F,Other,Violent Crime,6,No,
1120,18-02-2020 11.00,02-16-2020 15:00,17-02-2020 4.59,Delhi,257,ILLEGAL POSSESSION,23,F,Poison,Other Crime,18,Yes,08-04-2020 11.00
1121,17-02-2020 14.00,02-16-2020 16:00,17-02-2020 3.06,Chennai,241,ASSAULT,33,M,Blunt Object,Violent Crime,18,No,
1122,19-02-2020 3.00,02-16-2020 17:00,17-02-2020 4.57,Nagpur,270,FIREARM OFFENSE,41,F,Knife,Fire Accident,11,No,
1123,17-02-2020 12.00,02-16-2020 18:00,17-02-2020 7.20,Bangalore,318,IDENTITY THEFT,27,F,Explosives,Violent Crime,14,No,
1124,17-02-2020 20.00,02-16-2020 19:00,16-02-2020 23.47,Ghaziabad,571,ASSAULT,37,F,Poison,Violent Crime,14,No,
1125,18-02-2020 7.00,02-16-2020 20:00,17-02-2020 6.49,Lucknow,522,SEXUAL ASSAULT,46,F,None,Violent Crime,19,Yes,01-11-2020 7.00
1126,17-02-2020 6.00,02-16-2020 21:00,17-02-2020 3.58,Bhopal,439,ROBBERY,41,F,Blunt Object,Violent Crime,15,No,
1127,19-02-2020 10.00,02-16-2020 22:00,16-02-2020 23.38,Bangalore,334,EXTORTION,63,M,Other,Other Crime,3,Yes,21-03-2020 10.00
1128,18-02-2020 7.00,02-16-2020 23:00,17-02-2020 5.39,Ghaziabad,368,DRUG OFFENSE,41,F,None,Other Crime,14,No,
1129,17-02-2020 16.00,02-17-2020 00:00,17-02-2020 21.44,Kanpur,175,TRAFFIC VIOLATION,65,F,Firearm,Traffic Fatality,5,No,
1130,19-02-2020 3.00,02-17-2020 01:00,17-02-2020 22.24,Delhi,373,HOMICIDE,78,F,Poison,Other Crime,1,No,
1131,17-02-2020 4.00,02-17-2020 02:00,17-02-2020 21.06,Lucknow,537,VEHICLE - STOLEN,70,F,None,Violent Crime,2,No,
1132,18-02-2020 8.00,02-17-2020 03:00,17-02-2020 22.32,Pune,456,CYBERCRIME,75,M,Blunt Object,Other Crime,8,No,
1133,19-02-2020 14.00,02-17-2020 04:00,17-02-2020 21.35,Bangalore,417,ILLEGAL POSSESSION,60,M,Poison,Other Crime,9,Yes,05-04-2020 14.00
1134,19-02-2020 17.00,02-17-2020 05:00,17-02-2020 10.27,Delhi,542,SEXUAL ASSAULT,34,M,Explosives,Violent Crime,13,No,
1135,19-02-2020 16.00,02-17-2020 06:00,17-02-2020 17.12,Kolkata,321,IDENTITY THEFT,10,F,Firearm,Violent Crime,19,Yes,04-03-2020 16.00
1136,20-02-2020 4.00,02-17-2020 07:00,17-02-2020 18.16,Kanpur,587,FRAUD,69,M,Poison,Other Crime,15,Yes,13-04-2020 4.00
1137,19-02-2020 9.00,02-17-2020 08:00,17-02-2020 20.31,Nagpur,363,PUBLIC INTOXICATION,34,M,Knife,Other Crime,9,No,
1138,19-02-2020 18.00,02-17-2020 09:00,17-02-2020 18.22,Mumbai,114,TRAFFIC VIOLATION,67,F,Knife,Traffic Fatality,11,No,
1139,18-02-2020 13.00,02-17-2020 10:00,18-02-2020 1.00,Mumbai,260,VEHICLE - STOLEN,40,F,Blunt Object,Violent Crime,4,Yes,26-02-2020 13.00
1140,19-02-2020 17.00,02-17-2020 11:00,18-02-2020 4.58,Nagpur,431,VANDALISM,56,F,Other,Other Crime,3,No,
1141,19-02-2020 6.00,02-17-2020 12:00,18-02-2020 4.55,Hyderabad,409,EXTORTION,16,F,Blunt Object,Other Crime,6,Yes,01-03-2020 6.00
1142,18-02-2020 5.00,02-17-2020 13:00,18-02-2020 6.25,Jaipur,123,KIDNAPPING,66,F,Explosives,Other Crime,10,Yes,11-05-2020 5.00
1143,18-02-2020 20.00,02-17-2020 14:00,18-02-2020 5.24,Faridabad,445,FIREARM OFFENSE,63,F,Explosives,Fire Accident,6,No,
1144,20-02-2020 7.00,02-17-2020 15:00,17-02-2020 15.05,Surat,514,ARSON,54,M,Other,Fire Accident,11,Yes,01-03-2020 7.00
1145,18-02-2020 0.00,02-17-2020 16:00,18-02-2020 15.47,Mumbai,179,CYBERCRIME,45,F,Explosives,Other Crime,4,Yes,02-05-2020 0.00
1146,20-02-2020 16.00,02-17-2020 17:00,17-02-2020 23.59,Jaipur,548,DRUG OFFENSE,56,F,Other,Other Crime,6,No,
1147,20-02-2020 3.00,02-17-2020 18:00,17-02-2020 23.09,Pune,116,FRAUD,62,F,Other,Other Crime,2,Yes,04-03-2020 3.00
1148,19-02-2020 4.00,02-17-2020 19:00,18-02-2020 13.15,Ahmedabad,101,BURGLARY,78,F,None,Other Crime,10,Yes,06-08-2020 4.00
1149,18-02-2020 23.00,02-17-2020 20:00,18-02-2020 8.00,Hyderabad,571,SEXUAL ASSAULT,64,F,Knife,Violent Crime,4,No,
1150,19-02-2020 16.00,02-17-2020 21:00,18-02-2020 4.19,Mumbai,249,PUBLIC INTOXICATION,60,F,None,Other Crime,14,No,
1151,19-02-2020 0.00,02-17-2020 22:00,18-02-2020 16.56,Jaipur,472,VEHICLE - STOLEN,30,F,Poison,Violent Crime,16,Yes,05-03-2020 0.00
1152,20-02-2020 13.00,02-17-2020 23:00,18-02-2020 6.52,Mumbai,122,ARSON,38,M,Poison,Fire Accident,15,Yes,10-04-2020 13.00
1153,18-02-2020 5.00,02-18-2020 00:00,18-02-2020 3.20,Kolkata,277,ILLEGAL POSSESSION,76,F,None,Other Crime,4,Yes,14-04-2020 5.00
1154,19-02-2020 21.00,02-18-2020 01:00,18-02-2020 1.02,Delhi,400,FRAUD,41,M,None,Other Crime,4,Yes,07-03-2020 21.00
1155,18-02-2020 7.00,02-18-2020 02:00,18-02-2020 23.34,Delhi,210,CYBERCRIME,72,F,None,Other Crime,7,Yes,06-04-2020 7.00
1156,18-02-2020 14.00,02-18-2020 03:00,18-02-2020 11.28,Bhopal,293,KIDNAPPING,31,F,Poison,Other Crime,8,No,
1157,20-02-2020 20.00,02-18-2020 04:00,18-02-2020 7.53,Bangalore,577,TRAFFIC VIOLATION,26,F,Knife,Traffic Fatality,12,Yes,13-03-2020 20.00
1158,21-02-2020 2.00,02-18-2020 05:00,18-02-2020 17.11,Agra,570,IDENTITY THEFT,79,F,None,Violent Crime,5,No,
1159,19-02-2020 19.00,02-18-2020 06:00,18-02-2020 10.09,Ghaziabad,289,ROBBERY,15,F,Explosives,Violent Crime,9,No,
1160,19-02-2020 10.00,02-18-2020 07:00,18-02-2020 18.38,Kalyan,288,ASSAULT,67,M,Poison,Violent Crime,7,Yes,28-04-2020 10.00
1161,20-02-2020 6.00,02-18-2020 08:00,18-02-2020 12.25,Jaipur,197,ROBBERY,32,F,Explosives,Violent Crime,12,Yes,05-08-2020 6.00
1162,18-02-2020 15.00,02-18-2020 09:00,18-02-2020 12.14,Delhi,276,VANDALISM,78,M,None,Other Crime,2,Yes,03-03-2020 15.00
1163,19-02-2020 1.00,02-18-2020 10:00,19-02-2020 2.17,Patna,563,VANDALISM,73,F,Firearm,Other Crime,13,No,
1164,19-02-2020 6.00,02-18-2020 11:00,18-02-2020 22.07,Chennai,109,ASSAULT,12,F,Blunt Object,Violent Crime,3,No,
1165,18-02-2020 23.00,02-18-2020 12:00,19-02-2020 7.37,Bangalore,210,FIREARM OFFENSE,57,F,Poison,Fire Accident,1,Yes,11-03-2020 23.00
1166,19-02-2020 23.00,02-18-2020 13:00,18-02-2020 20.37,Ghaziabad,378,ROBBERY,78,M,Blunt Object,Violent Crime,2,No,
1167,21-02-2020 4.00,02-18-2020 14:00,19-02-2020 1.07,Kolkata,548,ASSAULT,73,M,Knife,Violent Crime,16,Yes,02-04-2020 4.00
1168,19-02-2020 17.00,02-18-2020 15:00,19-02-2020 9.52,Indore,365,VEHICLE - STOLEN,46,M,Poison,Violent Crime,15,No,
1169,20-02-2020 12.00,02-18-2020 16:00,19-02-2020 10.39,Delhi,309,FIREARM OFFENSE,69,M,Explosives,Fire Accident,14,Yes,14-03-2020 12.00
1170,19-02-2020 7.00,02-18-2020 17:00,19-02-2020 0.54,Ahmedabad,225,VEHICLE - STOLEN,36,M,Explosives,Violent Crime,5,No,
1171,19-02-2020 4.00,02-18-2020 18:00,19-02-2020 17.49,Hyderabad,275,EXTORTION,56,M,Other,Other Crime,10,No,
1172,19-02-2020 13.00,02-18-2020 19:00,19-02-2020 1.40,Lucknow,240,ARSON,38,F,Knife,Fire Accident,4,No,
1173,20-02-2020 6.00,02-18-2020 20:00,19-02-2020 19.57,Mumbai,360,FIREARM OFFENSE,31,F,Other,Fire Accident,4,Yes,15-04-2020 6.00
1174,21-02-2020 15.00,02-18-2020 21:00,19-02-2020 8.34,Kanpur,218,FRAUD,67,F,Explosives,Other Crime,12,Yes,11-04-2020 15.00
1175,21-02-2020 7.00,02-18-2020 22:00,19-02-2020 2.25,Lucknow,353,ILLEGAL POSSESSION,54,F,Explosives,Other Crime,5,Yes,17-03-2020 7.00
1176,20-02-2020 19.00,02-18-2020 23:00,19-02-2020 8.08,Visakhapatnam,119,EXTORTION,10,F,Blunt Object,Other Crime,3,No,
1177,20-02-2020 7.00,02-19-2020 00:00,19-02-2020 4.22,Ahmedabad,510,EXTORTION,47,M,None,Other Crime,5,No,
1178,19-02-2020 14.00,02-19-2020 01:00,19-02-2020 21.47,Bangalore,137,KIDNAPPING,70,F,None,Other Crime,8,No,
1179,21-02-2020 6.00,02-19-2020 02:00,19-02-2020 4.51,Jaipur,206,FRAUD,71,F,Poison,Other Crime,5,Yes,27-03-2020 6.00
1180,21-02-2020 14.00,02-19-2020 03:00,19-02-2020 20.39,Nashik,106,COUNTERFEITING,10,F,None,Other Crime,11,Yes,18-03-2020 14.00
1181,19-02-2020 22.00,02-19-2020 04:00,19-02-2020 10.12,Surat,345,ROBBERY,73,F,Firearm,Violent Crime,8,Yes,28-07-2020 22.00
1182,20-02-2020 2.00,02-19-2020 05:00,20-02-2020 0.26,Ludhiana,554,KIDNAPPING,79,F,None,Other Crime,15,No,
1183,19-02-2020 19.00,02-19-2020 06:00,20-02-2020 0.24,Ahmedabad,563,IDENTITY THEFT,77,F,Knife,Violent Crime,3,Yes,29-04-2020 19.00
1184,20-02-2020 14.00,02-19-2020 07:00,19-02-2020 15.24,Kanpur,147,ILLEGAL POSSESSION,55,F,Knife,Other Crime,19,Yes,19-03-2020 14.00
1185,20-02-2020 14.00,02-19-2020 08:00,19-02-2020 23.27,Ahmedabad,460,PUBLIC INTOXICATION,64,M,Other,Other Crime,14,No,
1186,19-02-2020 19.00,02-19-2020 09:00,19-02-2020 12.27,Hyderabad,457,EXTORTION,25,F,Other,Other Crime,3,Yes,07-03-2020 19.00
1187,21-02-2020 15.00,02-19-2020 10:00,20-02-2020 5.04,Delhi,284,DRUG OFFENSE,75,F,Blunt Object,Other Crime,14,Yes,18-05-2020 15.00
1188,20-02-2020 5.00,02-19-2020 11:00,19-02-2020 11.18,Bangalore,424,HOMICIDE,70,F,Blunt Object,Other Crime,19,Yes,01-08-2021 5.00
1189,20-02-2020 7.00,02-19-2020 12:00,19-02-2020 22.58,Mumbai,136,SHOPLIFTING,39,F,Explosives,Other Crime,12,No,
1190,21-02-2020 7.00,02-19-2020 13:00,20-02-2020 3.11,Hyderabad,549,KIDNAPPING,27,M,Poison,Other Crime,1,Yes,14-03-2020 7.00
1191,20-02-2020 12.00,02-19-2020 14:00,19-02-2020 21.05,Visakhapatnam,561,CYBERCRIME,76,F,Other,Other Crime,10,No,
1192,20-02-2020 9.00,02-19-2020 15:00,20-02-2020 13.25,Mumbai,143,VEHICLE - STOLEN,65,F,Poison,Violent Crime,8,No,
1193,20-02-2020 18.00,02-19-2020 16:00,20-02-2020 7.50,Kanpur,579,KIDNAPPING,12,F,Knife,Other Crime,3,No,
1194,22-02-2020 2.00,02-19-2020 17:00,20-02-2020 9.48,Patna,341,ASSAULT,55,F,Poison,Violent Crime,2,No,
1195,21-02-2020 8.00,02-19-2020 18:00,20-02-2020 9.25,Mumbai,221,HOMICIDE,77,M,None,Other Crime,17,No,
1196,22-02-2020 11.00,02-19-2020 19:00,20-02-2020 6.03,Mumbai,470,ROBBERY,43,M,Other,Violent Crime,17,Yes,24-06-2020 11.00
1197,21-02-2020 0.00,02-19-2020 20:00,20-02-2020 2.14,Bangalore,410,CYBERCRIME,65,F,Blunt Object,Other Crime,5,Yes,06-04-2020 0.00
1198,21-02-2020 12.00,02-19-2020 21:00,20-02-2020 0.06,Pune,327,VANDALISM,64,F,Knife,Other Crime,16,No,
1199,22-02-2020 11.00,02-19-2020 22:00,20-02-2020 7.24,Meerut,408,ROBBERY,52,F,Blunt Object,Violent Crime,7,Yes,02-06-2020 11.00
1200,21-02-2020 14.00,02-19-2020 23:00,20-02-2020 15.59,Chennai,437,COUNTERFEITING,72,M,Poison,Other Crime,8,No,
1201,21-02-2020 12.00,02-20-2020 00:00,20-02-2020 10.17,Mumbai,348,ASSAULT,24,F,Poison,Violent Crime,10,No,
1202,21-02-2020 1.00,02-20-2020 01:00,20-02-2020 12.28,Ahmedabad,330,FIREARM OFFENSE,23,M,Explosives,Fire Accident,12,Yes,07-04-2020 1.00
1203,21-02-2020 11.00,02-20-2020 02:00,20-02-2020 9.50,Kolkata,386,VEHICLE - STOLEN,14,F,Knife,Violent Crime,8,Yes,22-04-2020 11.00
1204,22-02-2020 8.00,02-20-2020 03:00,20-02-2020 21.13,Mumbai,222,COUNTERFEITING,23,F,Poison,Other Crime,17,Yes,17-04-2020 8.00
1205,21-02-2020 9.00,02-20-2020 04:00,20-02-2020 9.21,Pune,491,DOMESTIC VIOLENCE,64,M,Knife,Violent Crime,3,No,
1206,20-02-2020 15.00,02-20-2020 05:00,21-02-2020 0.39,Kanpur,166,COUNTERFEITING,25,F,Explosives,Other Crime,1,Yes,15-04-2020 15.00
1207,21-02-2020 19.00,02-20-2020 06:00,20-02-2020 12.20,Ahmedabad,416,CYBERCRIME,41,M,Other,Other Crime,1,No,
1208,21-02-2020 5.00,02-20-2020 07:00,20-02-2020 8.01,Kolkata,532,HOMICIDE,52,M,Knife,Other Crime,10,No,
1209,21-02-2020 23.00,02-20-2020 08:00,20-02-2020 21.06,Chennai,249,DOMESTIC VIOLENCE,33,F,None,Violent Crime,19,Yes,23-04-2020 23.00
1210,21-02-2020 2.00,02-20-2020 09:00,20-02-2020 10.15,Bhopal,249,HOMICIDE,42,M,Knife,Other Crime,5,Yes,12-07-2021 2.00
1211,22-02-2020 17.00,02-20-2020 10:00,20-02-2020 17.27,Kanpur,218,ILLEGAL POSSESSION,53,F,Knife,Other Crime,4,Yes,08-04-2020 17.00
1212,22-02-2020 7.00,02-20-2020 11:00,20-02-2020 18.47,Bangalore,572,FIREARM OFFENSE,76,M,Blunt Object,Fire Accident,8,No,
